scope,dimension,bucket,target,current,deficit,surplus,exactMatch,updatedAt
global,faceType,cat_like,34,9,25,0,False,2026-05-25T22:26:23+00:00
global,faceType,dog_like,38,10,28,0,False,2026-05-25T22:26:23+00:00
global,faceType,hamster_like,24,5,19,0,False,2026-05-25T22:26:23+00:00
global,faceType,bear_like,29,13,16,0,False,2026-05-25T22:26:23+00:00
global,faceType,fox_like,29,7,22,0,False,2026-05-25T22:26:23+00:00
global,faceType,deer_like,43,14,29,0,False,2026-05-25T22:26:23+00:00
global,faceType,horse_like,19,8,11,0,False,2026-05-25T22:26:23+00:00
global,faceType,mixed_neutral,24,8,16,0,False,2026-05-25T22:26:23+00:00
global,looksLevelBand,1.5-2.4,36,3,33,0,False,2026-05-25T22:26:23+00:00
global,looksLevelBand,2.5-3.2,108,34,74,0,False,2026-05-25T22:26:23+00:00
global,looksLevelBand,3.3-3.8,72,29,43,0,False,2026-05-25T22:26:23+00:00
global,looksLevelBand,3.9-4.3,24,8,16,0,False,2026-05-25T22:26:23+00:00
global,looksLevelBand,4.4-5.0,0,0,0,0,True,2026-05-25T22:26:23+00:00
global,eyewear,with_eyewear,36,8,28,0,False,2026-05-25T22:26:23+00:00
global,eyewear,without_eyewear,204,66,138,0,False,2026-05-25T22:26:23+00:00
global,season,spring,60,25,35,0,False,2026-05-25T22:26:23+00:00
global,season,summer,53,12,41,0,False,2026-05-25T22:26:23+00:00
global,season,autumn,79,26,53,0,False,2026-05-25T22:26:23+00:00
global,season,winter,48,11,37,0,False,2026-05-25T22:26:23+00:00
female,faceType,cat_like,17,2,15,0,False,2026-05-25T22:26:23+00:00
female,faceType,dog_like,19,2,17,0,False,2026-05-25T22:26:23+00:00
female,faceType,hamster_like,12,0,12,0,False,2026-05-25T22:26:23+00:00
female,faceType,bear_like,15,0,15,0,False,2026-05-25T22:26:23+00:00
female,faceType,fox_like,14,1,13,0,False,2026-05-25T22:26:23+00:00
female,faceType,deer_like,22,2,20,0,False,2026-05-25T22:26:23+00:00
female,faceType,horse_like,9,0,9,0,False,2026-05-25T22:26:23+00:00
female,faceType,mixed_neutral,12,1,11,0,False,2026-05-25T22:26:23+00:00
female,looksLevelBand,1.5-2.4,18,1,17,0,False,2026-05-25T22:26:23+00:00
female,looksLevelBand,2.5-3.2,54,3,51,0,False,2026-05-25T22:26:23+00:00
female,looksLevelBand,3.3-3.8,36,3,33,0,False,2026-05-25T22:26:23+00:00
female,looksLevelBand,3.9-4.3,12,1,11,0,False,2026-05-25T22:26:23+00:00
female,looksLevelBand,4.4-5.0,0,0,0,0,True,2026-05-25T22:26:23+00:00
female,eyewear,with_eyewear,12,1,11,0,False,2026-05-25T22:26:23+00:00
female,eyewear,without_eyewear,108,7,101,0,False,2026-05-25T22:26:23+00:00
male,faceType,cat_like,17,7,10,0,False,2026-05-25T22:26:23+00:00
male,faceType,dog_like,19,8,11,0,False,2026-05-25T22:26:23+00:00
male,faceType,hamster_like,12,5,7,0,False,2026-05-25T22:26:23+00:00
male,faceType,bear_like,14,13,1,0,False,2026-05-25T22:26:23+00:00
male,faceType,fox_like,15,6,9,0,False,2026-05-25T22:26:23+00:00
male,faceType,deer_like,21,12,9,0,False,2026-05-25T22:26:23+00:00
male,faceType,horse_like,10,8,2,0,False,2026-05-25T22:26:23+00:00
male,faceType,mixed_neutral,12,7,5,0,False,2026-05-25T22:26:23+00:00
male,looksLevelBand,1.5-2.4,18,2,16,0,False,2026-05-25T22:26:23+00:00
male,looksLevelBand,2.5-3.2,54,31,23,0,False,2026-05-25T22:26:23+00:00
male,looksLevelBand,3.3-3.8,36,26,10,0,False,2026-05-25T22:26:23+00:00
male,looksLevelBand,3.9-4.3,12,7,5,0,False,2026-05-25T22:26:23+00:00
male,looksLevelBand,4.4-5.0,0,0,0,0,True,2026-05-25T22:26:23+00:00
male,eyewear,with_eyewear,24,7,17,0,False,2026-05-25T22:26:23+00:00
male,eyewear,without_eyewear,96,59,37,0,False,2026-05-25T22:26:23+00:00
