assetId,profileId,gender,shotType,qaStatus,visualQaStatus,localPath,finalPath,width,height,fileBytes,error,reasonCodes,updatedAt
female_001__silhouette_card__v001,female_001,female,silhouette_card,missing,visual_qa_blocked,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/silhouette_card.png,0,0,0,missing_image,"[""missing_image""]",2026-05-17T22:38:11+00:00
female_002__silhouette_card__v001,female_002,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/silhouette_card.png,941,1672,2938107,,[],2026-05-17T22:38:11+00:00
female_003__silhouette_card__v001,female_003,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/silhouette_card.png,941,1672,2814894,,[],2026-05-17T22:38:11+00:00
female_004__silhouette_card__v001,female_004,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_004__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/004/silhouette_card.png,941,1672,2254444,,[],2026-05-17T22:38:11+00:00
female_005__silhouette_card__v001,female_005,female,silhouette_card,missing,visual_qa_blocked,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_005__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/005/silhouette_card.png,0,0,0,missing_image,"[""missing_image""]",2026-05-17T22:38:11+00:00
female_006__silhouette_card__v001,female_006,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_006__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/006/silhouette_card.png,1229,1844,2988256,,[],2026-05-17T22:38:11+00:00
female_007__silhouette_card__v001,female_007,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_007__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/007/silhouette_card.png,1023,1537,2663489,,[],2026-05-17T22:38:11+00:00
female_008__silhouette_card__v001,female_008,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_008__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/008/silhouette_card.png,941,1672,2651106,,[],2026-05-17T22:38:11+00:00
female_009__silhouette_card__v001,female_009,female,silhouette_card,file_rejected,visual_qa_blocked,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_009__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/009/silhouette_card.png,862,1824,2579123,bad_aspect_ratio,"[""bad_aspect_ratio""]",2026-05-17T22:38:11+00:00
female_010__silhouette_card__v001,female_010,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_010__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/010/silhouette_card.png,1024,1536,2578065,,[],2026-05-17T22:38:11+00:00
female_011__silhouette_card__v001,female_011,female,silhouette_card,file_rejected,visual_qa_blocked,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_011__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/011/silhouette_card.png,1024,1536,2662155,duplicate_image_hash,"[""duplicate_image_hash""]",2026-05-17T22:38:11+00:00
female_012__silhouette_card__v001,female_012,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_012__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/012/silhouette_card.png,941,1672,2490044,,[],2026-05-17T22:38:11+00:00
female_013__silhouette_card__v001,female_013,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_013__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/013/silhouette_card.png,1024,1536,2785339,,[],2026-05-17T22:38:11+00:00
female_014__silhouette_card__v001,female_014,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_014__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/014/silhouette_card.png,941,1672,2302686,,[],2026-05-17T22:38:11+00:00
female_015__silhouette_card__v001,female_015,female,silhouette_card,file_qa_passed,visual_qa_pending,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_015__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/015/silhouette_card.png,1024,1536,2424769,,[],2026-05-17T22:38:11+00:00
