assetId,profileId,gender,numericId,identityScope,isReserve,reserveStatus,activeForTarget,identityDecision,shotType,targetFaceType,targetLooksLevel,targetLooksLevelBand,status,localPath,finalPath,approvedPath,rejectedPath,expectedRawPath,expectedFinalPath,expectedApprovedPath,expectedRejectedPath,storagePath,legacyStoragePath,model,size,quality,outputFormat,promptHash,referenceAssetId,referenceLocalPath,resolvedReferencePath,attempt,attemptCount,dryRun,updatedAt,error
female_001__face_card__v001,female_001,female,001,production,False,,True,rejected,face_card,cat_like,2.0,1.5-2.4,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__face_card__v001__attempt03.png,ai_profiles/female/001/face_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,ed8418c64eddd16e5109348a,,,,0,3,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_001__silhouette_card__v001,female_001,female,001,production,False,,True,,silhouette_card,cat_like,2.0,1.5-2.4,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__silhouette_card__v001__attempt02.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__silhouette_card__v001__attempt02.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__silhouette_card__v001__attempt02.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__silhouette_card__v001__attempt02.png,ai_profiles/female/001/silhouette_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,ff77f6863f1e524a5f659d07,female_001__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,0,2,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_001__vibe_card__v001,female_001,female,001,production,False,,True,,vibe_card,cat_like,2.0,1.5-2.4,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,ai_profiles/female/001/vibe_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,22c0aec4e31600592397bf24,female_001__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/001/face_card.png,0,1,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_002__face_card__v001,female_002,female,002,production,False,,True,,face_card,cat_like,2.9,2.5-3.2,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__face_card__v001__attempt03.png,ai_profiles/female/002/face_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,5e6da8f7b2863afb5f0c9323,,,,0,3,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_002__silhouette_card__v001,female_002,female,002,production,False,,True,,silhouette_card,cat_like,2.9,2.5-3.2,vision_approved,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__silhouette_card__v001__attempt01.png,ai_profiles/female/002/silhouette_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,9ffa5524ae29d96e96eaf6bf,female_002__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,0,1,False,2026-05-14T16:04:06+00:00,
female_002__vibe_card__v001,female_002,female,002,production,False,,True,,vibe_card,cat_like,2.9,2.5-3.2,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_002__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_002__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_002__vibe_card__v001__attempt01.png,ai_profiles/female/002/vibe_card.png,ai_profiles/female/002.png,codex-built-in-imagegen,1024x1536,high,png,64d67a4a89a1f6957a4fa93f,female_002__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/002/face_card.png,0,1,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_003__face_card__v001,female_003,female,003,production,False,,True,,face_card,cat_like,3.6,3.3-3.8,vision_approved,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__face_card__v001__attempt03.png,ai_profiles/female/003/face_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,0937889c97342dda9935b653,,,,0,3,False,2026-05-14T16:04:06+00:00,
female_003__silhouette_card__v001,female_003,female,003,production,False,,True,,silhouette_card,cat_like,3.6,3.3-3.8,vision_approved,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__silhouette_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/silhouette_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__silhouette_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__silhouette_card__v001__attempt01.png,ai_profiles/female/003/silhouette_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,276cd6ab1efe33dda48986f7,female_003__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,0,1,False,2026-05-14T16:04:06+00:00,
female_003__vibe_card__v001,female_003,female,003,production,False,,True,,vibe_card,cat_like,3.6,3.3-3.8,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_003__vibe_card__v001__attempt01.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/vibe_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_003__vibe_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_003__vibe_card__v001__attempt01.png,ai_profiles/female/003/vibe_card.png,ai_profiles/female/003.png,codex-built-in-imagegen,1024x1536,high,png,ff85c2fb8044f9e603d77392,female_003__face_card__v001,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/003/face_card.png,0,1,False,2026-05-14T16:04:06+00:00,metadata_mismatch
female_004__face_card__v001,female_004,female,004,production,False,,True,,face_card,cat_like,4.1,3.9-4.3,vision_rejected,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_004__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/004/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_004__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_004__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/raw/female_004__face_card__v001__attempt03.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/female/004/face_card.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/approved/female_004__face_card__v001.png,C:/Users/Mickey/StudioProjects/dating-app-ai_profile_image/ai_image/rejected/female_004__face_card__v001__attempt03.png,ai_profiles/female/004/face_card.png,ai_profiles/female/004.png,codex-built-in-imagegen,1024x1536,high,png,dbb00d541976b213cdb39f00,,,,0,3,False,2026-05-14T16:04:06+00:00,metadata_mismatch
