"Path","Status","Classification","SourcePhysical","CleanPhysical","SourceSize","CleanSize","SourceSha256","CleanSha256","Disposition"
".agents\skills\xcode-project-setup\scripts\xcode_spm_setup\Package.resolved","D ","STAGED","False","False","","","","","REAPPLIED_NON_SENSITIVE"
".firebase\hosting.cHVibGlj.cache"," M","UNSTAGED","True","True","1274","1274","EBC82EB82A8608855FC3DD9B52584940CA4B941E47C8C6C13945608453CD023C","EBC82EB82A8608855FC3DD9B52584940CA4B941E47C8C6C13945608453CD023C","REAPPLIED_NON_SENSITIVE"
".firebaserc"," M","UNSTAGED","True","True","59","59","2FBF2552F32797BB0F468550F152039B33918BECA4E7CEAB3251D1FEA1D92AA5","2FBF2552F32797BB0F468550F152039B33918BECA4E7CEAB3251D1FEA1D92AA5","REAPPLIED_NON_SENSITIVE"
".github\workflows\ci.yml","M ","STAGED","True","True","3626","3626","C79078D5F304ADAB530F8B3B04A18CD291E38261008279CA42E40B27543A728F","C79078D5F304ADAB530F8B3B04A18CD291E38261008279CA42E40B27543A728F","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\functions__src__index.ts.base","??","UNTRACKED","True","True","117769","117769","23CC9C54EECE437D827F1BC02879D676B84A534461A37BD4746FD18D0B51F4AC","23CC9C54EECE437D827F1BC02879D676B84A534461A37BD4746FD18D0B51F4AC","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\functions__src__index.ts.merged","??","UNTRACKED","True","True","141973","141973","201559B24AF266458A5CFEDFEFFA257DA4C24940B58AA59BD6FA83BE2436910A","201559B24AF266458A5CFEDFEFFA257DA4C24940B58AA59BD6FA83BE2436910A","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\functions__src__index.ts.ours","??","UNTRACKED","True","True","140689","140689","918FE8FCE6AADD7B8098A139920B2DC5D9639D19743FE9A77967CFC2134C85E3","918FE8FCE6AADD7B8098A139920B2DC5D9639D19743FE9A77967CFC2134C85E3","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\functions__src__index.ts.theirs","??","UNTRACKED","True","True","133681","133681","38077B42A83FBF78FEF5F0B669C5C4F9A41D5B48C97BB1DDA0139EEA080D3283","38077B42A83FBF78FEF5F0B669C5C4F9A41D5B48C97BB1DDA0139EEA080D3283","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__auth__screens__kakao_auth_screen.dart.base","??","UNTRACKED","True","True","19042","19042","89C137641302344F2EFDE382B9FB88DDE149F7CF133E9F792CAFDD648BA4C828","89C137641302344F2EFDE382B9FB88DDE149F7CF133E9F792CAFDD648BA4C828","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__auth__screens__kakao_auth_screen.dart.merged","??","UNTRACKED","True","True","27724","27724","0EBA5DCE988F2D5B5BD0CCC752A519E3782FC160BC7EAF6A8F2E1761718DA8C8","0EBA5DCE988F2D5B5BD0CCC752A519E3782FC160BC7EAF6A8F2E1761718DA8C8","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__auth__screens__kakao_auth_screen.dart.ours","??","UNTRACKED","True","True","18643","18643","D7CDFDC302432783167CD722FD2E8AE118207A90ACE609E0B14EA0F278E35F55","D7CDFDC302432783167CD722FD2E8AE118207A90ACE609E0B14EA0F278E35F55","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__auth__screens__kakao_auth_screen.dart.theirs","??","UNTRACKED","True","True","26842","26842","1731D4382828B9219F6A21D9A4C7184C315513659290C3EB2E03655215D7F130","1731D4382828B9219F6A21D9A4C7184C315513659290C3EB2E03655215D7F130","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__screens__premium_chat_list_screen.dart.base","??","UNTRACKED","True","True","33897","33897","9762CD81F2629784935B6544D28C49C81D1597799BB6A29708ABEAE55F4F9BCC","9762CD81F2629784935B6544D28C49C81D1597799BB6A29708ABEAE55F4F9BCC","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__screens__premium_chat_list_screen.dart.merged","??","UNTRACKED","True","True","36153","36153","B917A3C0ADC33B99F88B6D47EAE5F40573B2BB5CBDD6BF18626F879F71D6306D","B917A3C0ADC33B99F88B6D47EAE5F40573B2BB5CBDD6BF18626F879F71D6306D","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__screens__premium_chat_list_screen.dart.ours","??","UNTRACKED","True","True","34800","34800","A573C830FEC84BE200771D8C272AF2B2B11E729BD5C6B997E5B28970D9CA7060","A573C830FEC84BE200771D8C272AF2B2B11E729BD5C6B997E5B28970D9CA7060","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__screens__premium_chat_list_screen.dart.theirs","??","UNTRACKED","True","True","34527","34527","B25A0BB8DA401721A84E5BF6DD6D942B4AF219F8CDC7197E2CFB18DEB1DBB1E2","B25A0BB8DA401721A84E5BF6DD6D942B4AF219F8CDC7197E2CFB18DEB1DBB1E2","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__services__chat_service.dart.base","??","UNTRACKED","True","True","26387","26387","CC6A2BCC6AB05256E589FE3DA1A3EA15B6DF37C36943515C4112CF170FBC5E7E","CC6A2BCC6AB05256E589FE3DA1A3EA15B6DF37C36943515C4112CF170FBC5E7E","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__services__chat_service.dart.merged","??","UNTRACKED","True","True","30626","30626","7A184D8CDFBF3FC13900155340BDACE51315D0D83CB970FABC0E831217136295","7A184D8CDFBF3FC13900155340BDACE51315D0D83CB970FABC0E831217136295","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__services__chat_service.dart.ours","??","UNTRACKED","True","True","29081","29081","8697AF579A015CD806BA77316D39CEFFA40818585ECC63DB8B4B64A97EDD22A3","8697AF579A015CD806BA77316D39CEFFA40818585ECC63DB8B4B64A97EDD22A3","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__chat__services__chat_service.dart.theirs","??","UNTRACKED","True","True","28423","28423","F6EE8B48CDC14C9262DC6113175B46474AAAAE42B4955DA06EE19A0045393587","F6EE8B48CDC14C9262DC6113175B46474AAAAE42B4955DA06EE19A0045393587","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__onboarding__screens__basic_info_screen.dart.base","??","UNTRACKED","True","True","50354","50354","19A19EC899D4EB7F40BECE1E16EE271680D781CE22CCB74D290C24489DA06D6E","19A19EC899D4EB7F40BECE1E16EE271680D781CE22CCB74D290C24489DA06D6E","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__onboarding__screens__basic_info_screen.dart.merged","??","UNTRACKED","True","True","57729","57729","65557A1CD9A225BE79F680669C118528ECC93D418CF8F79B5005C853D44B9C76","65557A1CD9A225BE79F680669C118528ECC93D418CF8F79B5005C853D44B9C76","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__onboarding__screens__basic_info_screen.dart.ours","??","UNTRACKED","True","True","57464","57464","7A8EEDA3A5AF51AC625FCC628313BCD7F0618A9CDC2D08D0FF1DFD2C479FB68F","7A8EEDA3A5AF51AC625FCC628313BCD7F0618A9CDC2D08D0FF1DFD2C479FB68F","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__onboarding__screens__basic_info_screen.dart.theirs","??","UNTRACKED","True","True","57197","57197","FB31B006F35CA527CB43546B2549E1BD20A48E22E20165BAC1F28E3C456D680F","FB31B006F35CA527CB43546B2549E1BD20A48E22E20165BAC1F28E3C456D680F","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__profile__screens__heart_charge_screen.dart.base","??","UNTRACKED","True","True","17012","17012","C1F5DCC8A74ACB99AE9F38A2FD1340CF5136711396EB1689A87B48288F9E0F5F","C1F5DCC8A74ACB99AE9F38A2FD1340CF5136711396EB1689A87B48288F9E0F5F","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__profile__screens__heart_charge_screen.dart.merged","??","UNTRACKED","True","True","14441","14441","2B3B4A9835222A757E6E23CBA1EE4457CD0C0C1DC73CD082FB5041AB37E7F7DD","2B3B4A9835222A757E6E23CBA1EE4457CD0C0C1DC73CD082FB5041AB37E7F7DD","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__profile__screens__heart_charge_screen.dart.ours","??","UNTRACKED","True","True","14400","14400","6FBC936DEAB3280BF5A52B9DDA820BFE954077297002F0DDE9DF0B193EB62DA8","6FBC936DEAB3280BF5A52B9DDA820BFE954077297002F0DDE9DF0B193EB62DA8","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__features__profile__screens__heart_charge_screen.dart.theirs","??","UNTRACKED","True","True","12618","12618","1D340F3CA80425A3A7A299E4D2CCC3C4BD80A8EAED32B62DBA9FD3C50355AB4A","1D340F3CA80425A3A7A299E4D2CCC3C4BD80A8EAED32B62DBA9FD3C50355AB4A","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__providers__auth_provider.dart.base","??","UNTRACKED","True","True","17983","17983","59DDA4B2152BAE69236448966A63E56DD48A47604E8AF30318C1CAC48E7FE224","59DDA4B2152BAE69236448966A63E56DD48A47604E8AF30318C1CAC48E7FE224","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__providers__auth_provider.dart.merged","??","UNTRACKED","True","True","21553","21553","8DAE8404F1A37F5693E333184E17059A614D1FE12C39F265F3FBC22382CB16B3","8DAE8404F1A37F5693E333184E17059A614D1FE12C39F265F3FBC22382CB16B3","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__providers__auth_provider.dart.ours","??","UNTRACKED","True","True","20367","20367","D4DD030D55B8F66915247E4586F3364FE5B2C3580718831C42F1999756826E93","D4DD030D55B8F66915247E4586F3364FE5B2C3580718831C42F1999756826E93","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__providers__auth_provider.dart.theirs","??","UNTRACKED","True","True","18846","18846","33ED754900C3D65E8DE2F25DE2A858C58B1290C8879756FF976C23B6D4A4F45C","33ED754900C3D65E8DE2F25DE2A858C58B1290C8879756FF976C23B6D4A4F45C","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__screens__auth__kakao_callback_screen.dart.base","??","UNTRACKED","True","True","5276","5276","DCB586B44AA7D4538CF7537D904698E1CE3C10B54010A2BDAE6679A6F9E8816A","DCB586B44AA7D4538CF7537D904698E1CE3C10B54010A2BDAE6679A6F9E8816A","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__screens__auth__kakao_callback_screen.dart.merged","??","UNTRACKED","True","True","7638","7638","FCF9760D2D0B88EE5662DBB4EDC4221CFEEA12462E267EDA20AEF4B7A5CAEB05","FCF9760D2D0B88EE5662DBB4EDC4221CFEEA12462E267EDA20AEF4B7A5CAEB05","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__screens__auth__kakao_callback_screen.dart.ours","??","UNTRACKED","True","True","5499","5499","BBF1E51DEB9F30A5A89BB6BA9581B710B5B6C965BD645FB6F9AEEFF22B0B6F6D","BBF1E51DEB9F30A5A89BB6BA9581B710B5B6C965BD645FB6F9AEEFF22B0B6F6D","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__screens__auth__kakao_callback_screen.dart.theirs","??","UNTRACKED","True","True","7125","7125","5ABF2BA3402A5987D6E1FFFE0DD55195A99C428EFB09E096E556F70FCA7E2345","5ABF2BA3402A5987D6E1FFFE0DD55195A99C428EFB09E096E556F70FCA7E2345","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__services__ai_recommendation_service.dart.base","??","UNTRACKED","True","True","12928","12928","2C12AE18D6209F702D7F176F4F72426C2BABF401578D23439C465E7786D85AE8","2C12AE18D6209F702D7F176F4F72426C2BABF401578D23439C465E7786D85AE8","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__services__ai_recommendation_service.dart.merged","??","UNTRACKED","True","True","14860","14860","C177244ED4DD969F5E71C7C1BE8D3671675B0887251DD7E15D00466864C332B3","C177244ED4DD969F5E71C7C1BE8D3671675B0887251DD7E15D00466864C332B3","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__services__ai_recommendation_service.dart.ours","??","UNTRACKED","True","True","11287","11287","F9E6206F95199E5777E45CBA694648A97E4FFC679E52682521BAB06DD094EC36","F9E6206F95199E5777E45CBA694648A97E4FFC679E52682521BAB06DD094EC36","REAPPLIED_NON_SENSITIVE"
".tmp\merge-restore\lib__services__ai_recommendation_service.dart.theirs","??","UNTRACKED","True","True","13482","13482","E1BBA2A1EFCF1F9247107A4B05156C99822E0D3B3A1254E2CF4D44A2657300C7","E1BBA2A1EFCF1F9247107A4B05156C99822E0D3B3A1254E2CF4D44A2657300C7","REAPPLIED_NON_SENSITIVE"
".tmp\photo_upload_restored.dart","??","UNTRACKED","True","True","49233","49233","4620672A6E1A966F15263021D354766775ECAD302AFA2BA91F27518E2401B705","4620672A6E1A966F15263021D354766775ECAD302AFA2BA91F27518E2401B705","REAPPLIED_NON_SENSITIVE"
".tmp\pr51.json","??","UNTRACKED","True","True","1002","1002","2599CAA50C960DD9855540F7C5F5E5F3A5E6B95E7A18117018DABB05D55BACBC","2599CAA50C960DD9855540F7C5F5E5F3A5E6B95E7A18117018DABB05D55BACBC","REAPPLIED_NON_SENSITIVE"
".tmp\privacy_findings.txt","??","UNTRACKED","True","True","17131","17131","37CA477919EB1139DB6D844F4F92B9313126F26E1CA9231625DD346C2F47841C","37CA477919EB1139DB6D844F4F92B9313126F26E1CA9231625DD346C2F47841C","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\dart-format.meta.txt","??","UNTRACKED","True","True","57","57","A4CB3157AA4BC5DE282BFCF1421B97974052F313365F5FFDBEFE055C2AEEA12C","A4CB3157AA4BC5DE282BFCF1421B97974052F313365F5FFDBEFE055C2AEEA12C","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\flutter-analyze.meta.txt","??","UNTRACKED","True","True","134","134","27F88228862F6DFCAF87A4C4221E5AC45ED11F347F1A4A664C4D675F9DE3BA3C","27F88228862F6DFCAF87A4C4221E5AC45ED11F347F1A4A664C4D675F9DE3BA3C","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\flutter-analyze.txt","??","UNTRACKED","True","True","9300","9300","6DC841449B18848BB7053E58F0EF443F78E3B598A63F98088E531C9B74F38E45","6DC841449B18848BB7053E58F0EF443F78E3B598A63F98088E531C9B74F38E45","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\flutter-test.meta.txt","??","UNTRACKED","True","True","57","57","2BAC4EAF4218DA033AE1BBB6234F197E6CE673489B98D5A3B74E88E62BB45661","2BAC4EAF4218DA033AE1BBB6234F197E6CE673489B98D5A3B74E88E62BB45661","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\flutter-test.txt","??","UNTRACKED","True","True","55716","55716","55124299A631F0CB6DFAFD0E33EC1C68774F5C11EA4E3F0E15329622818EF8DA","55124299A631F0CB6DFAFD0E33EC1C68774F5C11EA4E3F0E15329622818EF8DA","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\flutter-test2.txt","??","UNTRACKED","True","True","60770","60770","5C35E9BB09F7A68DA12D00398CB06096EC2CBB5E6079B3816A5E3F3A503A7A10","5C35E9BB09F7A68DA12D00398CB06096EC2CBB5E6079B3816A5E3F3A503A7A10","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\functions.meta.txt","??","UNTRACKED","True","True","98","98","1B74233AB24432986565CF9906F69AE39CEE231ED5A3E55AB3B296D9471A9578","1B74233AB24432986565CF9906F69AE39CEE231ED5A3E55AB3B296D9471A9578","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\functions-test.txt","??","UNTRACKED","True","True","30210","30210","30D7F4EC7ECF97111738D59E5E52860D0CD11C421E4511766F1D633F60F79913","30D7F4EC7ECF97111738D59E5E52860D0CD11C421E4511766F1D633F60F79913","REAPPLIED_NON_SENSITIVE"
".tmp\release-baseline\rules-test.txt","??","UNTRACKED","True","True","1536","1536","5CFDCEC5C63C7D7F1C59EA1C226AF44BD6FEBC4695F3445D38C482C16C69A3F6","5CFDCEC5C63C7D7F1C59EA1C226AF44BD6FEBC4695F3445D38C482C16C69A3F6","REAPPLIED_NON_SENSITIVE"
"android\app\google-services.json"," M","UNSTAGED","True","True","684","684","15A7F4582A4D33A1235F4D320116DA04ECB0168A7D5AB7F4483E908D8567B9C4","15A7F4582A4D33A1235F4D320116DA04ECB0168A7D5AB7F4483E908D8567B9C4","REAPPLIED_NON_SENSITIVE"
"android\app\src\main\AndroidManifest.xml"," M","UNSTAGED","True","True","7285","7285","A3E69B98B36DE2ED846D7BF98C6CA052F18D7EB8F296A485927892F3792B698F","A3E69B98B36DE2ED846D7BF98C6CA052F18D7EB8F296A485927892F3792B698F","REAPPLIED_NON_SENSITIVE"
"--dart-define=APP_CHECK_WEB_RECAPTCHA_SITE_KEY=6Le2EXAtAAAAAAVvB3xjGuMmOeuYfAJ4JxGhiIkp","??","UNTRACKED","True","True","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","REAPPLIED_NON_SENSITIVE"
"docs\avatar-production\avatar-pipeline-quality-mai-analysis-20260731.md","??","UNTRACKED","True","True","20420","20420","CCECE07AC12094E16A30C91C29AC17531054A2A16AA31EC46C717855CA074812","CCECE07AC12094E16A30C91C29AC17531054A2A16AA31EC46C717855CA074812","REAPPLIED_NON_SENSITIVE"
"docs\dead_code_cleanup\00-baseline.md","??","UNTRACKED","True","True","3681","3681","EE669970127087E2D6188765594600DE52D23CA7BECC42A53F5861308B47E81B","EE669970127087E2D6188765594600DE52D23CA7BECC42A53F5861308B47E81B","REAPPLIED_NON_SENSITIVE"
"docs\dead_code_cleanup\01b-runtime-features-not-in-workflow.md","??","UNTRACKED","True","True","7181","7181","080AC414A61B8130960831AE3CBE0138B73E7D0D6A302D27A01A49E07E82FC16","080AC414A61B8130960831AE3CBE0138B73E7D0D6A302D27A01A49E07E82FC16","REAPPLIED_NON_SENSITIVE"
"docs\dead_code_cleanup\01c-current-user-flow-map.md","??","UNTRACKED","True","True","3774","3774","FC8DB352AD32EAF3537F72017D087F035B0B946966A93B5C9F7438A8BD2DB09B","FC8DB352AD32EAF3537F72017D087F035B0B946966A93B5C9F7438A8BD2DB09B","REAPPLIED_NON_SENSITIVE"
"docs\dead_code_cleanup\01d-non-workflow-runtime-features.md","??","UNTRACKED","True","True","5588","5588","5ABE12754BAE510DF23CECF91360F3A763CE65C9F7DEADA6C42EA577103E5412","5ABE12754BAE510DF23CECF91360F3A763CE65C9F7DEADA6C42EA577103E5412","REAPPLIED_NON_SENSITIVE"
