"Path","Tracked","WorktreeExists","SizeBytes","TopLevel","Extension","Classification","WorkflowRelation","RuntimeProtection","ReferenceAuditStatus","GitHistoryStatus","Notes"
".agents/skills/developing-genkit-dart/references/genkit.md","True","True","10058",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_anthropic.md","True","True","1062",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_chrome.md","True","True","543",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_firebase_ai.md","True","True","585",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_google_genai.md","True","True","2455",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_mcp.md","True","True","2974",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_middleware.md","True","True","2140",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_openai.md","True","True","1340",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/genkit_shelf.md","True","True","1403",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/references/schemantic.md","True","True","3397",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-dart/SKILL.md","True","True","3757",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/flows-and-http.md","True","True","4478",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/generation.md","True","True","4415",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/getting-started.md","True","True","3466",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/middleware.md","True","True","15846",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/prompts.md","True","True","5281",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/providers.md","True","True","3730",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/references/tools.md","True","True","4490",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-go/SKILL.md","True","True","4945",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/references/best-practices.md","True","True","1819",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/references/common-errors.md","True","True","4761",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/references/docs-and-cli.md","True","True","2244",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/references/examples.md","True","True","4080",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/references/setup.md","True","True","3427",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-js/SKILL.md","True","True","4763",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/common-errors.md","True","True","2146",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/dev-workflow.md","True","True","2560",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/dotprompt.md","True","True","2794",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/evals.md","True","True","2832",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/examples.md","True","True","3920",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/fastapi.md","True","True","7582",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/references/setup.md","True","True","1274",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/developing-genkit-python/SKILL.md","True","True","2424",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-ai-logic-basics/references/flutter_setup.md","True","True","2827",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-ai-logic-basics/references/ios_setup.md","True","True","4489",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-ai-logic-basics/references/usage_patterns_android.md","True","True","4010",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-ai-logic-basics/references/usage_patterns_web.md","True","True","5093",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-ai-logic-basics/SKILL.md","True","True","6111",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-app-hosting-basics/references/cli_commands.md","True","True","3192",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-app-hosting-basics/references/configuration.md","True","True","1734",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-app-hosting-basics/references/emulation.md","True","True","1483",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-app-hosting-basics/SKILL.md","True","True","2357",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/references/client_sdk_android.md","True","True","4316",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/references/client_sdk_web.md","True","True","7043",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/references/flutter_setup.md","True","True","4605",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/references/ios_setup.md","True","True","2469",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/references/security_rules.md","True","True","1303",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-auth-basics/SKILL.md","True","True","3653",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/android_setup.md","True","True","1677",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
